03-22-2026 15:19:01 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,12%@729,1%@729,0%@729,0%@729,6%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.031C soc2@52.25C soc0@53.343C gpu@53.406C tj@53.406C soc1@53.156C VDD_IN 5200mW/6002mW VDD_CPU_GPU_CV 559mW/1167mW VDD_SOC 1560mW/1614mW
03-22-2026 15:19:02 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [27%@729,0%@729,0%@729,1%@729,8%@729,34%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.312C soc2@52.281C soc0@53.281C gpu@53.437C tj@53.437C soc1@53.437C VDD_IN 5511mW/5967mW VDD_CPU_GPU_CV 758mW/1138mW VDD_SOC 1557mW/1610mW
03-22-2026 15:19:03 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.093C soc2@52.25C soc0@53.437C gpu@53.375C tj@53.437C soc1@53.25C VDD_IN 5200mW/5916mW VDD_CPU_GPU_CV 559mW/1099mW VDD_SOC 1560mW/1607mW
03-22-2026 15:19:04 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C soc2@52.218C soc0@53.312C gpu@53.281C tj@53.312C soc1@53.156C VDD_IN 5160mW/5869mW VDD_CPU_GPU_CV 519mW/1063mW VDD_SOC 1560mW/1604mW
03-22-2026 15:19:05 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,3%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.812C soc2@52.281C soc0@53.187C gpu@53.156C tj@53.187C soc1@53.125C VDD_IN 5200mW/5830mW VDD_CPU_GPU_CV 519mW/1031mW VDD_SOC 1560mW/1601mW
03-22-2026 15:19:06 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.343C soc2@52.156C soc0@53.187C gpu@52.968C tj@53.25C soc1@53.25C VDD_IN 5160mW/5792mW VDD_CPU_GPU_CV 519mW/1003mW VDD_SOC 1560mW/1599mW
03-22-2026 15:19:07 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [1%@729,11%@729,1%@729,2%@729,5%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 2%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.093C soc2@52.156C soc0@53.25C gpu@53.156C tj@53.25C soc1@53.125C VDD_IN 5280mW/5765mW VDD_CPU_GPU_CV 599mW/981mW VDD_SOC 1560mW/1597mW
03-22-2026 15:19:08 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [3%@729,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C soc2@52.187C soc0@53.125C gpu@52.781C tj@53.125C soc1@53.062C VDD_IN 5200mW/5737mW VDD_CPU_GPU_CV 519mW/958mW VDD_SOC 1560mW/1595mW
03-22-2026 15:19:09 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [4%@806,8%@806,1%@806,0%@806,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.125C soc2@52.25C soc0@53.156C gpu@52.781C tj@53.343C soc1@53.343C VDD_IN 5391mW/5721mW VDD_CPU_GPU_CV 678mW/945mW VDD_SOC 1557mW/1593mW
03-22-2026 15:19:10 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [2%@729,0%@729,3%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52C soc2@52.156C soc0@53.312C gpu@52.843C tj@53.281C soc1@53.156C VDD_IN 5231mW/5698mW VDD_CPU_GPU_CV 559mW/927mW VDD_SOC 1597mW/1593mW
03-22-2026 15:19:11 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.781C soc2@52.187C soc0@53.187C gpu@52.718C tj@53.187C soc1@53.062C VDD_IN 5191mW/5676mW VDD_CPU_GPU_CV 519mW/910mW VDD_SOC 1597mW/1594mW
03-22-2026 15:19:12 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,13%@729,2%@729,0%@729,7%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.218C soc2@52.156C soc0@53.031C gpu@52.75C tj@53.187C soc1@53.187C VDD_IN 5271mW/5659mW VDD_CPU_GPU_CV 559mW/895mW VDD_SOC 1597mW/1594mW
