device,precision,batch_size,avg_latency_ms,throughput_fps,recall_at_5,max_memory_mb,idle_power_mw,active_power_mw,net_compute_power_mw,energy_per_image_mj
Orin,FP32,1,42.68007375756089,16.407847781259573,1.0,588.5146484375,628.7368421052631,3626.0,2997.2631578947367,127.92341264976724
Orin,FP16,1,42.15946489450883,16.26842176018702,1.0,309.5810546875,636.37,3536.686567164179,2900.316567164179,122.27579449632057
Orin,FP32,2,55.83104491233826,20.679979848095503,1.0,594.728515625,641.7523809523809,3568.605633802817,2926.853252850436,81.704637705858
Orin,FP16,2,43.75415047009786,24.656146924465602,1.0,310.40380859375,641.2363636363636,3517.3513513513512,2876.1149877149874,62.92098397089261
Orin,FP32,4,82.0905367533366,25.71278534126804,1.0,598.4775390625,640.4173913043478,3541.5844155844156,2901.167024280068,59.539589558557765
Orin,FP16,4,45.88037729263306,36.20459690820996,1.0,312.85498046875,639.0,3513.227848101266,2874.227848101266,32.967664523969724
Orin,FP32,8,118.35853258768718,28.948390982284234,1.0,614.302734375,641.504,3553.768292682927,2912.264292682927,43.086416023683746
Orin,FP16,8,61.33075555165609,41.27334692742499,1.0,317.255859375,641.376923076923,3523.5,2882.123076923077,22.095348237569517
Orin,FP32,16,178.5264809926351,31.222268424455702,1.0,635.96923828125,640.674074074074,3587.3793103448274,2946.7052362707536,32.879057272124314
Orin,FP16,16,78.80083719889323,46.41847750903346,1.0,330.45703125,646.5642857142857,3563.8651685393256,2917.30088282504,14.367859495480218
CPU,FP32,1,455.1403571148308,2.1147507015683678,1.0,0,0,0,0,0
CPU,FP32,2,603.6720971266428,3.1481394748377256,1.0,0,0,0,0,0
CPU,FP32,4,974.4494358698527,3.71063267805986,1.0,0,0,0,0,0
CPU,FP32,8,1437.4243418375652,4.681091553215343,1.0,0,0,0,0,0
CPU,FP32,16,1795.7078615824382,6.004394371304018,1.0,0,0,0,0,0
