batch_size,avg_latency_per_img_ms,peak_mem_mb,throughput
1,1.821551218117569,599.03857421875,0.0005489826418569893
2,0.908390611527473,601.32763671875,0.00220169602659914
4,0.6152595308357998,607.4794921875,0.006501321474152862
8,0.40554289420646045,614.7099609375,0.019726643258424912
16,0.32459484646096826,626.66357421875,0.04929221820508466
32,0.3147430418591414,663.5380859375,0.10167023808050099
64,0.27214739869426313,738.4755859375,0.2351666791858596
