batch_size,latency_ms,latency_per_image_ms,throughput_img_per_sec,peak_gpu_mem_mb,device
32,9.885008912533522,0.30890652851667255,3237.225204665842,662.4130859375,cuda
32,9.972092229872942,0.31162788218352944,3208.9554791861087,662.8505859375,cuda
32,9.974067099392414,0.31168959685601294,3208.3201046390927,662.4755859375,cuda
32,9.954478591680527,0.31107745599001646,3214.6334642523675,662.8505859375,cuda
32,9.960500989109278,0.31126565590966493,3212.6898069673916,662.4755859375,cuda
32,9.953087195754051,0.3110339748673141,3215.082855262343,662.8505859375,cuda
32,9.974186308681965,0.3116933221463114,3208.281759500102,662.4755859375,cuda
32,9.954198729246855,0.3110687102889642,3214.723843716264,662.8505859375,cuda
32,9.938840288668871,0.3105887590209022,3219.691540519344,662.4755859375,cuda
32,9.954720735549927,0.3110850229859352,3214.5552698151337,662.8505859375,cuda
32,9.936756920069456,0.3105236537521705,3220.366590166757,662.4755859375,cuda
32,9.95289720594883,0.3110280376859009,3215.1442276399334,662.8505859375,cuda
32,9.9262367002666,0.31019489688333124,3223.779662552329,662.4755859375,cuda
32,9.953668806701899,0.31105215020943433,3214.894992131354,662.8505859375,cuda
32,9.947256185114384,0.3108517557848245,3216.9675139046426,662.4755859375,cuda
32,9.959779679775238,0.3112431149929762,3212.922477088584,662.8505859375,cuda
32,9.954690001904964,0.31108406255953014,3214.5651942829327,662.4755859375,cuda
32,9.975709952414036,0.3117409360129386,3207.7917414044578,662.8505859375,cuda
32,9.956113062798977,0.31112853321246803,3214.105725613746,662.4755859375,cuda
32,9.971952065825462,0.3116235020570457,3209.0005837138056,662.8505859375,cuda
32,9.964217897504568,0.31138180929701775,3211.491391413074,662.4755859375,cuda
32,9.972603060305119,0.31164384563453496,3208.791105641473,662.8505859375,cuda
32,9.960731025785208,0.31127284455578774,3212.615611962821,662.4755859375,cuda
32,9.958216920495033,0.3111942787654698,3213.4266862715867,662.8505859375,cuda
32,9.944200981408358,0.3107562806690112,3217.955877986284,662.4755859375,cuda
32,9.964649099856615,0.3113952843705192,3211.3524198720115,662.8505859375,cuda
32,9.941766038537025,0.31068018870428205,3218.744021530901,662.4755859375,cuda
32,9.978965856134892,0.31184268300421536,3206.7451138062534,662.8505859375,cuda
32,9.955842979252338,0.3111200931016356,3214.192918338205,662.4755859375,cuda
32,9.964808821678162,0.31140027567744255,3211.300946425073,662.8505859375,cuda
32,9.961754083633423,0.31130481511354446,3212.2856809499162,662.4755859375,cuda
8,3.995476756244898,0.49943459453061223,2002.264182239595,613.9443359375,cuda
